No.;Fix/Dev;Ext/Int;Short description;Goal;"Created at 
(via Makro)";Folder;Object Type;Priority;Working Prio;Status;Comments / Next steps;Reporter;Responsible;Solution approach / Comment;Transport;Detailed description
916;Fix;Ext;Payment term error message when creating day limit;;;Link;Payment Term;High;50;Closed;;Shell;Dieter;"08.05. Dieter hatte E-Mail geschrieben dass der Einbau des Hinweises noch einmal überprüft wird
24.04. Mx Mail von Gerd und Mike analysiert Eingabefeld.
22.04. Mx Erfassung Defect Eing Sup. Postbox. Erste Analyse.";;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
949;Fix;Int;Itego RDM - Itego - ID1100 - WBS – adding new WBS element into hierarchy does not work;;;Link;Work Breakdown Structure;High;50;Confirmed;;Sabine;Farida/Mike;"MX 26.05. Defect open
23.06.2025 retest in ID1 ok (Sabine)
02.06.2025 Change implemented - transport not yet created; will be created after retest in ID1
";;
792;Fix;Int;IR1200 Storage Location Cust table only in cloud edition;2603;;Link;Storage Location ;Medium;40;New;;Ulla;Frank;;;
917;Fix;Ext;Duplicate check for classification and Characteristics;2507;;Link;Class;High;50;Closed;;ExxonMobil;Frank;"12.06. Lieferung der neue entwickelten Lösung an Exxon. Aufnahme ebenfalls in Release 2507 für alle Kunden. 24.04. Mx Erklä. Doku zu Dupl.Check an Kunde.
22.04. Mx Erfassung Defect Eing. Sup. Postbox. Erste Analyse.";;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
919;Fix;Ext;Itego UI: Search Criteria and Result List ohne Wirkung bei Obj. Classes  und Characteristics;2507;;Link;Class;High;50;Closed;;"ExxonMobil/
Thomas";Dieter;"15.05. Die Korrektur per Mail geschickt14.05.Hallo Mike, ich kümmere mich darum     25.04. Mx Exxon möchte dies mit nutzen. Zusätzl. Anfrage aus Defect 917.
24.04. Mx Defect eröffnet.";;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
783;Fix;Int;Characteristics - Translation to DE data element missing;2509;;Link;Characteristic;Medium;30;Confirmed;"25.8.25 retest ok (Sabine, IH1)
10.2.25 Ulla sammelt die Übersetzungsthemen für sich selbst";Ulla;Ulla;;;
796;Fix;Int;FR MDF some translations missing in IH1;2602;;Link;Translation;Low;30;In Process;;Ulla;Herve;10.2.25 Ulla sammelt die Übersetzungsthemen für sich selbst;;
797;Fix;Int;ES RDH not translated;2602;;Link;Translation;Low;30;In Process;;Ulla;Herve;10.2.25 Ulla sammelt die Übersetzungsthemen für sich selbst;;
900;Fix;Int;Itego RDM - Itego - UoM Validation - additional language version;2603;;Link;Unit of Measure;High;30;New;;Gerd;Mike;"15.05.25 Thomas klärt mit Gerd wenn er zurück ist
08.04. Mike untersucht";;
937;Fix;Ext ;Problems with initial replication of Exchange Rates (uploaded mass data);2503 Fix;;Link;Exchange Rate;High;50;Closed;;Bayer ;Frank, Dieter;MX 02.06. Status 99?;"ID1K905104 
ID1K905107";"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
570;;;Missing enhancement for characteristics upload;;;Link;;Medium;30;Closed;Missing enhancement implementation in customer environment;ArcelorMittal;Mike;;;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
965;Fix;int; MRP-Type XML transformation.docx;;;Link;MRP Type;Medium;30;Closed;;Niklas;Niklas;;;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
508;Fix;Int;Missing German Translation in Operating Concern ;;;Link;Operating Concern;Low;10;Closed;ID1K903055 - has been fixed;Maxi;Maxi;;;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
721;;;Delete Data Records from S4 Issue;;;Link;;Medium;30;Closed;;Deloitte;Michael;;;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
959;Fix;Ext;Issue with short text for Public Holiday object;;;Link;Public Holiday;Medium;30;Closed;;Intel;Mike;"17.07. Mx Rückmeldung Kunde Goenka, Ayush can be closed.
07.07. Mx Lieferung 08.07.2025 geplant. 
04.07.2025 MX Sabine hat positiv getestet. 
23.06.2025: Warten auf Feedback von Intel
20.06.2025: Note delivered
17.06.2025: Sabine: ok!
11.06.2025: Development started
";;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
960;Fix;Ext;Issue with number ranges for Public Holiday object;;;Link;Public Holiday;Medium;30;Closed;;Intel;Mike;"17.07. Mx Rückmeldung Kunde Goenka, Ayush can be closed.
07.07.2025 Mx Lieferung für 08.07. geplant.
04.07. 2025: MX Sabine hat positiv getestet. Status auf Solved.
23.06.2025: Sabine testet noch einmal ob SNRO ok ist und wir warten auf Feedback von Intel
20.06.2025: Note delivered
11.06.2025: Development started
";;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
527;;;Controlling Area - Search Help - Company Name is Empty;;;Link;;-;10;Closed;16.07.2024 (Mike): Correction of Company Name in search help Transport ID1K903028;Maxi;Mike;;;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
528;;;Controlling Area - Checkbox  - List of Values Error;;;Link;;-;10;Closed;16.07.2024 (Mike): Checkbox changed to pulldown menu Transport ID1K903026;Maxi;Mike;;;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
529;;;Controlling Area - Field Name - User -> Person;;;Link;;-;10;Closed;16.07.2024 (Mike): Search help added to field VNAME Transport ID1K903030;Maxi;Mike;;;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
531;;;Document Type Account Types(KOARS) not updated;;;Link;;;10;Closed;"12.06.2024: Dieter creates Transport / and tests in S02
12.06.2024: Gerd retest in IH2 successful
11.06.2024 Michael: Created, and attachments from Gerd linked. Mike/Michael to work on it / discuss further
10.06.2024: Gerd: Error in the “Account Types” field. The wrong values “ADKMS” are set, depending on which account types are allowed (flagged). ";Shell;Mike;;;"11.07.25 MB: auf ""Closed"" gesetzt = ""automatically confirmed"
1;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
2;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
3;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
4;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
5;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
6;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
7;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
8;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
9;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
10;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
11;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
12;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
13;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
14;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
15;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
16;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
17;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
18;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
19;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
20;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
21;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
22;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
23;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
24;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
25;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
26;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
27;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
28;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
29;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
30;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
31;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
32;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
33;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
34;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
35;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
36;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
37;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
38;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
39;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
40;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
41;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
42;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
43;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
44;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
45;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
46;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
47;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
48;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
49;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
50;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
51;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
52;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
53;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
54;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
55;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
56;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
57;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
58;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
59;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
60;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
61;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
62;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
63;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
64;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
65;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
66;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
67;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
68;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
69;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
70;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
71;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
72;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
73;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
74;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
75;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
76;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
77;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
78;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
79;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
80;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
81;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
82;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
83;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
84;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
85;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
86;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
87;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
88;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
89;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
90;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
91;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
92;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
93;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
94;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
95;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
96;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
97;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
98;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
99;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
100;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
101;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
102;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
103;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
104;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
105;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
106;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
107;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
108;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
109;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
110;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
111;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
112;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
113;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
114;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
115;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
116;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
117;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
118;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
119;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
120;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
121;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
122;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
123;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
124;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
125;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
126;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
127;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
128;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
129;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
130;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
131;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
132;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
133;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
134;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
135;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
136;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
137;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
138;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
139;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
140;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
141;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
142;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
143;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
145;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
146;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
147;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
148;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
149;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
150;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
151;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
152;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
153;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
154;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
155;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
156;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
157;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
158;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
159;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
160;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
161;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
162;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
163;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
164;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
165;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
166;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
167;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
168;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
169;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
170;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
171;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
172;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
173;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
174;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
175;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
176;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
177;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
178;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
179;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
180;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
181;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
182;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
183;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
184;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
185;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
186;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
187;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
188;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
189;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
190;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
191;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
192;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
193;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
194;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
195;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
196;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
197;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
198;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
199;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
200;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
201;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
202;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
203;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
204;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
205;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
206;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
207;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
208;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
209;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
210;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
211;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
212;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
213;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
214;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
215;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
216;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
217;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
218;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
219;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
220;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
221;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
222;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
223;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
224;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
225;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
226;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
227;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
228;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
229;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
230;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
231;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
232;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
233;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
234;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
235;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
236;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
237;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
238;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
239;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
240;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
241;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
242;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
243;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
244;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
245;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
246;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
247;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
248;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
249;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
250;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
251;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
252;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
253;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
254;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
255;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
256;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
257;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
258;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
259;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
260;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
261;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
262;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
263;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
264;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
265;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
266;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
267;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
268;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
269;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
270;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
271;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
272;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
273;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
274;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
275;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
276;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
277;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
278;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
279;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
280;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
281;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
282;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
283;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
284;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
285;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
286;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
287;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
288;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
289;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
290;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
291;;;ARCHIVE UP TO LINE 500;;;;Archive;;0;;;;;;;
